0,1
Pengamat,O
politik,O
dari,O
Universitas,B-ORGANIZATION
Gadjah,I-ORGANIZATION
Mada,L-ORGANIZATION
",",O
Arie,B-PERSON
Sudjito,L-PERSON
",",O
menilai,O
",",O
keinginan,O
Ketua,O
Umum,O
Partai,B-ORGANIZATION
Golkar,L-ORGANIZATION
Aburizal,B-PERSON
Bakrie,L-PERSON
untuk,O
maju,O
kembali,O
sebagai,O
ketua,O
umum,O
merupakan,O
pemaksaan,O
kehendak,O
.,O
Menurut,O
dia,O
",",O
ada,O
kesan,O
bahwa,O
Aburizal,U-PERSON
menggunakan,O
segala,O
cara,O
untuk,O
memuluskan,O
jalannya,O
kembali,O
menduduki,O
Golkar,U-ORGANIZATION
1,O
.,O
Hal,O
ini,O
",",O
kata,O
Arie,U-PERSON
",",O
berpotensi,O
menimbukan,O
perpecahan,O
di,O
kalangan,O
kader,O
Golkar,U-PERSON
di,O
daerah,O
.,O
"\""",O
Tentu,O
ini,O
akan,O
merugikan,O
Golkar,U-ORGANIZATION
karena,O
Golkar,U-ORGANIZATION
akan,O
pecah,O
dan,O
konflik,O
di,O
daerah,O
dipastikan,O
akan,O
terjadi,O
",",O
"\""",O
ujar,O
Arie,U-PERSON
",",O
saat,O
dihubungi,O
Kompas.com,O
",",O
Selasa,B-TIME
(,I-TIME
2,I-TIME
/,I-TIME
12,I-TIME
/,I-TIME
2014,I-TIME
),L-TIME
.,O
Arie,U-PERSON
mengatakan,O
",",O
sikap,O
Aburizal,U-PERSON
tersebut,O
ditentang,O
oleh,O
sebagian,O
kalangan,O
di,O
internal,O
Golkar,U-ORGANIZATION
yang,O
melakukan,O
perlawanan,O
dengan,O
membentuk,O
Presidium,B-ORGANIZATION
Penyelamat,I-ORGANIZATION
Partai,I-ORGANIZATION
Golkar,L-ORGANIZATION
.,O
Selain,O
itu,O
",",O
dua,O
calon,O
ketua,O
umum,O
menyatakan,O
mundur,O
dan,O
tak,O
akan,O
mencalonkan,O
diri,O
.,O
Mereka,O
adalah,O
MS,B-PERSON
Hidayat,L-PERSON
dan,O
Airlangga,B-PERSON
Hartarto,L-PERSON
.,O
Hidayat,U-PERSON
dan,O
Airlangga,U-PERSON
mundur,O
karena,O
menganggap,O
ada,O
proses,O
yang,O
tidak,O
demokratis,O
dan,O
tidak,O
fair,O
dalam,O
Munas,O
IX,O
yang,O
berlangsung,O
di,O
Bali,U-LOCATION
.,O
"\""",O
Upaya,O
Airlangga,U-PERSON
serius,O
bertarung,O
",",O
tapi,O
melihat,O
gelagat,O
tidak,O
sehat,O
",",O
maka,O
lebih,O
baik,O
mundur,O
.,O
Itu,O
pun,O
jalan,O
moderat,O
",",O
"\""",O
kata,O
Arie,U-PERSON
.,O
Dengan,O
mundurnya,O
Hidayat,U-PERSON
dan,O
Airlangga,U-PERSON
",",O
Aburizal,U-PERSON
berpotensi,O
menjadi,O
calon,O
tunggal,O
ketua,O
umum,O
yang,O
akan,O
dipilih,O
dalam,O
Munas,O
IX,O
.,O
Menurut,O
Arie,U-PERSON
",",O
jika,O
Aburizal,U-PERSON
terus,O
memaksakan,O
kehendaknya,O
",",O
bukan,O
tidak,O
mungkin,O
Golkar,U-ORGANIZATION
akan,O
menyusul,O
Partai,B-ORGANIZATION
Persatuan,I-ORGANIZATION
Pembangunan,L-ORGANIZATION
yang,O
terpecah,O
karena,O
konflik,O
internal,O
.,O
Arie,U-PERSON
mengatakan,O
",",O
para,O
petinggi,O
partai,O
segera,O
melakukan,O
langkah-langkah,O
untuk,O
menyelamatkan,O
partai,O
berlambang,O
pohon,O
beringin,O
tersebut,O
.,O
"\""",O
Ini,O
indikasi,O
atau,O
tanda-tanda,O
kebangkrutan,O
Golkar,U-ORGANIZATION
",",O
"\""",O
kata,O
Arie,U-PERSON
.,O
Wakil,O
Ketua,O
DPR,U-ORGANIZATION
Fadli,B-PERSON
Zon,L-PERSON
mengkritik,O
pemerintahan,O
Joko,B-PERSON
Widodo,L-PERSON
yang,O
dinilainya,O
lambat,O
dalam,O
melakukan,O
eksekusi,O
terhadap,O
para,O
terpidana,O
mati,O
kasus,O
narkoba,O
.,O
Menurut,O
Fadli,U-PERSON
",",O
semakin,O
cepat,O
eksekusi,O
dilakukan,O
",",O
hal,O
itu,O
akan,O
semakin,O
baik,O
.,O
"\""",O
Pemerintah,O
lambat,O
",",O
eksekusi,O
lambat,O
",",O
eksekusi,O
kapan,O
tidak,O
jelas,O
karena,O
lambatnya,O
pemerintah,O
mengambil,O
keputusan,O
",",O
"\""",O
kata,O
Fadil,B-PERSON
Zon,L-PERSON
di,O
Gedung,B-LOCATION
DPR,I-LOCATION
",",I-LOCATION
Senayan,I-LOCATION
",",I-LOCATION
Jakarta,L-LOCATION
",",O
Rabu,B-TIME
(,I-TIME
11,I-TIME
/,I-TIME
3,I-TIME
/,I-TIME
2015,I-TIME
),L-TIME
.,O
Menurut,O
dia,O
",",O
karena,O
lambatnya,O
eksekusi,O
mati,O
ini,O
",",O
akhirnya,O
terjadi,O
perlawanan,O
dari,O
berbagai,O
pihak,O
",",O
termasuk,O
para,O
terpidana,O
.,O
Terpidana,O
mati,O
kasus,O
narkoba,O
yang,O
merupakan,O
warga,O
negara,O
Perancis,U-LOCATION
",",O
Serge,B-PERSON
Atlaoui,L-PERSON
",",O
mengajukan,O
upaya,O
hukum,O
lanjutan,O
berupa,O
peninjauan,O
kembali,O
ke,O
Pengadilan,B-ORGANIZATION
Negeri,I-ORGANIZATION
Tangerang,L-ORGANIZATION
.,O
Sebelumnya,O
",",O
